iter	RMSE
0	0.4991543337
1	0.4983219008
2	0.4975030956
3	0.4966728419
4	0.4958729215
5	0.4950675696
6	0.4942760447
7	0.4934940338
8	0.4927173821
9	0.4919568287
10	0.4911981693
11	0.4904436162
12	0.4896947705
13	0.4889789086
14	0.4882512859
15	0.4875539428
16	0.4868710751
17	0.4861806013
18	0.4855185007
19	0.48485312
20	0.4842106377
21	0.4835869499
22	0.4829537599
23	0.4823298631
24	0.4817119728
25	0.4811027186
26	0.4805091348
27	0.4799252468
28	0.4793426468
29	0.478777565
30	0.4782146508
31	0.4776490029
32	0.4770896078
33	0.4765385411
34	0.4759986804
35	0.4754886101
36	0.4749792368
37	0.4744703911
38	0.4739681831
39	0.473479761
40	0.4729966971
41	0.4725246172
42	0.4720501215
43	0.4715891136
44	0.4711292775
45	0.4706735407
46	0.4702236929
47	0.4697848941
48	0.4693452072
49	0.4689145654
50	0.4684954526
51	0.4680774455
52	0.4676655174
53	0.4672558224
54	0.4668530178
55	0.4664540836
56	0.4660705789
57	0.4656985798
58	0.4653247934
59	0.4649648488
60	0.4646063149
61	0.464259406
62	0.4639082382
63	0.4635607409
64	0.4632111342
65	0.4628802708
66	0.4625415007
67	0.4622134003
68	0.4618900991
69	0.4615705692
70	0.4612438115
71	0.4609316632
72	0.4606314982
73	0.4603294986
74	0.46002637
75	0.4597402716
76	0.4594431226
77	0.4591571493
78	0.4588743525
79	0.4586035188
80	0.4583309237
81	0.4580598355
82	0.4577991424
83	0.4575375208
84	0.4572867182
85	0.4570345958
86	0.4567871326
87	0.4565485566
88	0.4563086941
89	0.4560739808
90	0.4558394821
91	0.4556024909
92	0.4553719358
93	0.4551404577
94	0.4549195513
95	0.454701116
96	0.4544807812
97	0.4542771708
98	0.4540642416
99	0.453855615
100	0.4536594096
101	0.4534540591
102	0.4532611885
103	0.4530684384
104	0.4528713067
105	0.4526775122
106	0.4524909121
107	0.4523029727
108	0.452128349
109	0.4519503419
110	0.4517765522
111	0.4516017701
112	0.4514226972
113	0.4512550074
114	0.4510920465
115	0.4509230129
116	0.450758869
117	0.4505998689
118	0.4504431892
119	0.4502947864
120	0.450140605
121	0.4499921251
122	0.4498491486
123	0.4497001418
124	0.4495512443
125	0.449404498
126	0.4492653055
127	0.4491313133
128	0.4489948516
129	0.4488629136
130	0.4487304824
131	0.4486022163
132	0.4484739817
133	0.44834471
134	0.4482224973
135	0.4480974303
136	0.4479749453
137	0.4478529049
138	0.4477344288
139	0.4476185178
140	0.4475050143
141	0.4473913225
142	0.4472804508
143	0.4471696429
144	0.4470570288
145	0.4469430862
146	0.4468331528
147	0.4467291486
148	0.4466262615
149	0.446521547
150	0.4464175616
151	0.4463153107
152	0.4462241856
153	0.446125958
154	0.4460352285
155	0.4459456465
156	0.445856275
157	0.4457646673
158	0.4456750537
159	0.445582791
160	0.445492912
161	0.4454101789
162	0.4453367934
163	0.4452530468
164	0.4451683913
165	0.4450877051
166	0.4450045301
167	0.4449227832
168	0.4448409983
169	0.4447618343
170	0.4446801344
171	0.4446011482
172	0.4445220791
173	0.4444502443
174	0.444374819
175	0.444299771
176	0.4442251693
177	0.4441573262
178	0.4440924341
179	0.4440156623
180	0.4439538724
181	0.4438922577
182	0.4438230544
183	0.4437608243
184	0.4436955295
185	0.4436262725
186	0.4435658075
187	0.4434957257
188	0.4434350589
189	0.4433790054
190	0.4433115847
191	0.4432468448
192	0.4431885132
193	0.4431260329
194	0.4430676394
195	0.4430150603
196	0.4429512436
197	0.4428872797
198	0.442825908
199	0.4427776287
200	0.4427204558
201	0.442666776
202	0.4426191934
