iter	Passed	Remaining
0	15	31726
1	29	29885
2	43	28922
3	56	28217
4	69	27725
5	82	27448
6	95	27122
7	107	26881
8	120	26698
9	133	26571
10	146	26441
11	158	26339
12	171	26239
13	184	26159
14	197	26080
15	209	26015
16	222	25962
17	237	26152
18	250	26162
19	263	26088
20	276	26015
21	288	25976
22	301	25931
23	314	25888
24	327	25851
25	339	25802
26	352	25735
27	363	25611
28	375	25508
29	386	25404
30	398	25309
31	410	25225
32	421	25151
33	435	25195
34	448	25155
35	459	25072
36	471	24992
37	482	24920
38	494	24853
39	505	24787
40	517	24731
41	529	24666
42	540	24607
43	552	24558
44	564	24510
45	575	24462
46	588	24440
47	600	24402
48	611	24362
49	623	24329
50	637	24352
51	650	24354
52	662	24325
53	674	24295
54	685	24259
55	697	24224
56	709	24181
57	720	24139
58	732	24096
59	744	24062
60	755	24026
61	767	23989
62	779	23956
63	790	23920
64	802	23884
65	813	23849
66	825	23826
67	839	23841
68	851	23828
69	863	23794
70	874	23761
71	886	23727
72	897	23695
73	909	23663
74	920	23632
75	932	23603
76	943	23572
77	955	23546
78	967	23523
79	978	23494
80	990	23465
81	1002	23437
82	1013	23409
83	1025	23386
84	1039	23409
85	1051	23398
86	1062	23370
87	1074	23345
88	1086	23322
89	1097	23297
90	1109	23275
91	1121	23256
92	1133	23235
93	1144	23215
94	1156	23191
95	1168	23167
96	1179	23144
97	1191	23120
98	1202	23095
99	1214	23070
100	1225	23046
101	1239	23055
102	1251	23049
103	1262	23023
104	1274	22999
105	1285	22974
106	1297	22951
107	1308	22927
108	1320	22903
109	1331	22880
110	1343	22856
111	1354	22833
112	1365	22810
113	1377	22788
114	1388	22764
115	1400	22742
116	1411	22719
117	1423	22697
118	1434	22680
119	1448	22698
120	1462	22706
121	1474	22699
122	1486	22680
123	1497	22660
124	1509	22640
125	1520	22619
126	1532	22601
127	1544	22581
128	1555	22562
129	1567	22545
130	1579	22535
131	1591	22519
132	1602	22500
133	1614	22479
134	1625	22458
135	1637	22439
136	1650	22441
137	1661	22421
138	1673	22402
139	1684	22382
140	1696	22364
141	1708	22349
142	1719	22331
143	1731	22321
144	1743	22309
145	1755	22293
146	1767	22277
147	1778	22261
148	1790	22245
149	1802	22227
150	1813	22209
151	1825	22192
152	1837	22178
153	1849	22168
154	1862	22169
155	1874	22160
156	1886	22145
157	1898	22127
158	1909	22110
159	1921	22093
160	1932	22075
161	1944	22064
162	1958	22073
163	1970	22064
164	1982	22048
165	1994	22035
166	2006	22018
167	2017	22000
168	2030	22000
169	2042	21985
170	2055	21985
171	2067	21968
172	2078	21951
173	2091	21946
174	2103	21933
175	2115	21920
176	2126	21902
177	2139	21897
178	2152	21898
179	2164	21880
180	2176	21871
181	2189	21872
182	2201	21854
183	2213	21842
184	2225	21834
185	2237	21818
186	2250	21818
187	2263	21816
188	2276	21813
189	2288	21803
190	2300	21788
191	2312	21772
192	2323	21756
193	2335	21740
194	2347	21732
195	2362	21740
196	2373	21724
197	2385	21708
198	2397	21693
199	2410	21691
200	2421	21676
201	2433	21662
202	2446	21658
203	2458	21645
204	2471	21643
205	2483	21627
206	2495	21618
207	2507	21601
208	2518	21586
209	2530	21571
210	2542	21556
211	2554	21542
212	2570	21564
213	2582	21551
214	2595	21549
215	2607	21539
216	2621	21543
217	2633	21527
218	2645	21510
219	2658	21511
220	2672	21511
221	2688	21531
222	2704	21551
223	2720	21569
224	2732	21554
225	2744	21543
226	2758	21547
227	2770	21534
228	2782	21519
229	2795	21511
230	2807	21497
231	2819	21487
232	2831	21474
233	2844	21464
234	2858	21472
235	2872	21469
236	2884	21459
237	2896	21443
238	2911	21450
239	2923	21438
240	2935	21428
241	2947	21412
242	2962	21417
243	2974	21406
244	2989	21415
245	3001	21398
246	3012	21381
247	3024	21368
248	3037	21356
249	3049	21346
250	3061	21330
251	3074	21328
252	3089	21334
253	3102	21328
254	3117	21330
255	3129	21320
256	3141	21303
257	3154	21298
258	3167	21290
259	3180	21287
260	3192	21271
261	3206	21271
262	3219	21263
263	3235	21275
264	3252	21296
265	3265	21283
266	3278	21278
267	3291	21269
268	3304	21266
269	3316	21251
270	3330	21247
271	3343	21239
272	3355	21228
273	3371	21237
274	3386	21243
275	3399	21234
276	3414	21238
277	3427	21233
278	3440	21219
279	3456	21233
280	3469	21224
281	3485	21231
282	3499	21229
283	3515	21241
284	3527	21224
285	3539	21212
286	3551	21197
287	3563	21181
288	3576	21175
289	3589	21166
290	3603	21161
291	3615	21149
292	3629	21144
293	3640	21127
294	3652	21110
295	3664	21093
296	3677	21087
297	3691	21085
298	3703	21068
299	3716	21058
300	3729	21052
301	3743	21048
302	3756	21039
303	3771	21043
304	3783	21028
305	3799	21032
306	3813	21032
307	3827	21025
308	3842	21030
309	3855	21020
310	3872	21030
311	3885	21023
312	3898	21011
313	3915	21021
314	3927	21009
315	3940	20998
316	3952	20982
317	3964	20967
318	3976	20953
319	3990	20952
320	4002	20936
321	4018	20940
322	4034	20947
323	4049	20945
324	4061	20934
325	4076	20933
326	4089	20921
327	4102	20912
328	4115	20903
329	4129	20897
330	4141	20881
331	4153	20866
332	4167	20863
333	4180	20853
334	4193	20844
335	4210	20852
336	4226	20858
337	4240	20850
338	4254	20846
339	4269	20844
340	4282	20834
341	4299	20842
342	4314	20842
343	4328	20838
344	4343	20836
345	4359	20841
346	4372	20831
347	4386	20823
348	4400	20814
349	4414	20813
350	4428	20803
351	4443	20804
352	4457	20798
353	4475	20808
354	4487	20794
355	4499	20777
356	4514	20775
357	4527	20765
358	4540	20755
359	4554	20748
360	4570	20751
361	4586	20754
362	4599	20742
363	4612	20731
364	4627	20727
365	4639	20714
366	4651	20699
367	4665	20691
368	4679	20685
369	4695	20683
370	4710	20681
371	4728	20693
372	4743	20691
373	4758	20687
374	4771	20678
375	4784	20665
376	4796	20648
377	4810	20643
378	4824	20636
379	4836	20619
380	4848	20604
381	4864	20602
382	4875	20586
383	4887	20570
384	4899	20553
385	4916	20558
386	4933	20564
387	4945	20547
388	4957	20530
389	4974	20535
390	4990	20534
391	5004	20527
392	5016	20511
393	5031	20508
394	5044	20498
395	5059	20492
396	5073	20485
397	5088	20480
398	5101	20469
399	5113	20455
400	5128	20449
401	5142	20440
402	5156	20435
403	5171	20428
404	5185	20421
405	5197	20404
406	5210	20393
407	5228	20402
408	5241	20387
409	5254	20376
410	5266	20360
411	5279	20349
412	5294	20344
413	5310	20343
414	5324	20335
415	5337	20323
416	5351	20316
417	5364	20304
418	5379	20298
419	5394	20295
420	5410	20291
421	5427	20294
422	5443	20292
423	5456	20283
424	5468	20265
425	5480	20249
426	5495	20244
427	5513	20251
428	5531	20258
429	5548	20256
430	5561	20247
431	5577	20245
432	5589	20229
433	5605	20227
434	5619	20216
435	5633	20206
436	5645	20191
437	5659	20183
438	5673	20172
439	5686	20162
440	5704	20164
441	5722	20169
442	5736	20161
443	5749	20147
444	5763	20140
445	5777	20131
446	5790	20118
447	5805	20110
448	5820	20104
449	5833	20091
450	5848	20086
451	5862	20079
452	5876	20069
453	5893	20069
454	5906	20056
455	5923	20056
456	5938	20051
457	5952	20042
458	5965	20029
459	5980	20022
460	5996	20018
461	6009	20006
462	6024	19998
463	6036	19983
464	6050	19974
465	6062	19957
466	6077	19951
467	6093	19948
468	6109	19943
469	6126	19942
470	6140	19932
471	6154	19923
472	6167	19910
473	6179	19893
474	6194	19887
475	6211	19887
476	6225	19875
477	6237	19859
478	6253	19857
479	6266	19845
480	6279	19830
481	6291	19815
482	6306	19806
483	6323	19807
484	6339	19802
485	6351	19787
486	6367	19781
487	6384	19780
488	6398	19770
489	6411	19759
490	6424	19745
491	6440	19739
492	6456	19736
493	6469	19722
494	6486	19720
495	6501	19714
496	6517	19710
497	6531	19700
498	6545	19687
499	6557	19671
500	6571	19660
501	6589	19662
502	6604	19655
503	6617	19643
504	6633	19638
505	6647	19626
506	6660	19613
507	6674	19603
508	6688	19593
509	6703	19584
510	6717	19574
511	6733	19568
512	6746	19554
513	6761	19549
514	6773	19532
515	6789	19526
516	6802	19512
517	6818	19508
518	6835	19505
519	6848	19492
520	6865	19488
521	6879	19480
522	6893	19469
523	6910	19466
524	6925	19457
525	6940	19448
526	6953	19434
527	6967	19424
528	6979	19406
529	6995	19403
530	7010	19393
531	7023	19380
532	7040	19378
533	7056	19371
534	7070	19362
535	7087	19358
536	7099	19342
537	7116	19337
538	7133	19336
539	7150	19333
540	7169	19334
541	7182	19320
542	7197	19312
543	7213	19305
544	7228	19297
545	7241	19283
546	7257	19277
547	7272	19269
548	7287	19261
549	7299	19245
550	7312	19231
551	7325	19217
552	7338	19203
553	7350	19186
554	7367	19181
555	7379	19165
556	7395	19158
557	7410	19149
558	7425	19141
559	7440	19131
560	7453	19118
561	7465	19101
562	7478	19089
563	7493	19079
564	7508	19070
565	7523	19061
566	7535	19045
567	7551	19037
568	7568	19034
569	7581	19021
570	7593	19004
571	7607	18993
572	7623	18986
573	7637	18973
574	7652	18965
575	7669	18961
576	7683	18947
577	7698	18938
578	7715	18935
